brand,model,screen_size,color,harddisk,cpu,ram,OS,special_features,graphics,graphics_coprocessor,cpu_speed,rating,Price,Sale Product Count,Total Sales,Total Stock
Dell,Latitude 5420,14 Inches,,512 GB,Core i5,16 GB,Windows 10 Pro,Anti Glare,Integrated,,2.6 GHz,1, $589.99 ,28,16519.72,182
acer,PH315-53-71QX,15.6 Inches,,512 GB,Intel Core i7,16 GB,Windows 10 Home,,Dedicated,NVIDIA GeForce RTX 2070,5 GHz,4.4, $249.99 ,62,15499.38,466
Dell,Inspiron,14 Inches,Silver,1 TB,Core i7 Family,64 GB,Windows 11 Home,Backlit Kb,Integrated,,,4," $1,386.99 ",46,63801.54,155
Lenovo,AMD Athlon,14 Inches,Gray,128 GB,AMD R Series,4 GB,Windows 11 Home,,Integrated,AMD Radeon Graphics,,4.6, $389.99 ,48,18719.52,404
HP,ELITEBOOK REVOLVE 810G3,11.6 Inches,Silver,512 GB,Core i5,8 GB,Windows 10 Pro 64 Bit-Multi-Language Support English/French/Spanish.,,Integrated,Integrated Graphics,,, $619.99 ,19,11779.81,186
Dell,Dell XPS,15.6 Inches,Silver,1 TB,,32 GB,Windows 10,"Backlit Keyboard,Fingerprint Reader",Dedicated,NVIDIA GeForce GTX 1050 Ti,,3.5, $899.99 ,52,46799.48,393
HP,360W3UT#ABA,14 Inches,Silver,256 GB,Core i7,16 GB,Windows 10 Pro,,Integrated,Intel Iris,,," $1,599.00 ",45,71955,381
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5," $2,437.64 ",13,31689.32,440
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,, $899.99 ,40,35999.6,440
DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,," $1,099.00 ",29,31871,191
MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5, $459.99 ,36,16559.64,231
MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1, $899.99 ,46,41399.54,539
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,," $1,699.00 ",21,35679,254
Lenovo,,14 Inches,,512 GB,,16 GB,Windows 10,"Backlit Keyboard,Fingerprint Reader",Integrated,,,4.5, $389.99 ,16,6239.84,480
Alienware,AWm15-7806SLV-PUS,15.6 Inches,Epic Silver,512 GB,Core i7 Family,16 GB,Windows 10 Home,"Anti Glare,Thin Bezel",Dedicated,,,4.3, $589.99 ,29,17109.71,234
VAIO,VAIO Z,14 Inches,Grey,2 TB,Intel Core i7,16 GB,Windows 10 Pro,,Integrated,Intel Iris Xe Graphics,,, $389.99 ,26,10139.74,240
Dell,G15,15.6 Inches,Phantom Grey with speckles,512 GB,AMD R Series,16 GB,Windows 10 Home,Backlit Keyboard,Dedicated,,,," $1,699.99 ",38,64599.62,494
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5," $2,550.99 ",54,137753.46,439
HP,,14 Inches,Rose Gold,64 GB,Celeron N4000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.7, $648.11 ,14,9073.54,271
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4, $700.58 ,63,44136.54,379
Lenovo,,14 Inches,,512 GB,Intel Core i5,16 GB,Windows 10 Pro,Speakers,Integrated,Intel Integrated Graphics,2.6 GHz,3.6," $1,703.99 ",54,92015.46,339
Dell,Latitude 5330 2-in-1,13.3 Inches,Black,256 GB,Core i5,16 GB,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,," $7,399.00 ",32,236768,176
Dell,Dell XPS 15 9520,15.6 Inches,Silver,512 GB,Core i7,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3050 Ti,,," $2,815.30 ",55,154841.5,386
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5, $589.99 ,53,31269.47,385
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,," $1,599.00 ",28,44772,418
DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,, $204.00 ,47,9588,356
MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5," $1,381.99 ",64,88447.36,459
MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1, $809.00 ,49,39641,362
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,," $1,699.00 ",52,88348,251
Lenovo,IdeaPad 330,15.6 Inches,Silver,500 GB,Celeron N,4 GB,Windows 10,"Anti-glare,Stereo Speakers",Integrated,,,3.7," $3,600.31 ",32,115209.92,452
Dell,Precision 7550,15.6 Inches,Gray,512 GB,Corei7-10750H,16 GB,Windows 10 Pro,Anti-glare,Dedicated,,,3.1," $1,699.00 ",26,44174,299
Dell,G3 Gaming,15.6 Inches,Black,512 GB,Core i5,8 GB,Windows 10,,Dedicated,NVIDIA GeForce GTX 1660Ti,,3.8, $749.00 ,34,25466,485
Toughbook,cf-31 hzardour locations,13 Inches,,500 GB,Core i5-655K,16 GB,Windows 10 Home,,Integrated,Intel HD Graphics,2.3 GHz,5, $459.99 ,25,11499.75,289
Dell,Precision 7750 Laptop,17.3 Inches,Silver,256 GB,Core i7,16 GB,Windows 10 Pro,Wifi & Bluetooth,Nvidia Quadro RTX 3000,,,, $853.99 ,21,17933.79,329
Dell,LATITUDE 3450,14 Inches,Black,256 GB,Core i5,8 GB,Windows 10 Pro 64 Bit Multi-Language Support English/French/Spanish,,Integrated,Integrated Graphics,,," $1,681.34 ",62,104243.08,155
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5, $692.99 ,57,39500.43,330
HP,,14 Inches,Rose Gold,64 GB,Celeron N4000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.7," $1,038.28 ",38,39454.64,263
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4, $389.99 ,22,8579.78,394
Dell,Latitude 5510 Laptop,15.6 Inches,Black,512 GB,Core i7,32 GB,Windows 10 Pro,Wifi & Bluetooth,Integrated,,,, $619.99 ,56,34719.44,209
Dell,Precision 5760 Laptop,17 Inches,Silver,1000 GB,Core i7,64 GB,Windows 11 Pro,Wifi & Bluetooth,Nvidia RTX A2000,,,, $499.99 ,48,23999.52,392
Dell,Latitude 7320 Detachable 2-in-1,13 Inches,Black,256 GB,Core i5,8 GB,Windows 11 Home,Wifi & Bluetooth,Integrated,,,," $3,043.95 ",15,45659.25,423
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5, $999.99 ,23,22999.77,202
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,," $1,259.00 ",38,47842,446
DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,," $2,108.40 ",62,130720.8,445
MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5, $736.85 ,20,14737,413
MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1, $589.99 ,23,13569.77,385
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,," $1,274.03 ",60,76441.8,449
Dell,Latitude Rugged 5430 Laptop,14 Inches,Silver,512 GB,Core i7,16 GB,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,," $1,723.77 ",36,62055.72,229
Dell,G15 5525 Laptop,15.6 Inches,Grey,1000 GB,AMD Ryzen 7,16 GB,Windows 11 Pro,,Dedicated,NVIDIA GeForce RTX 3060,,5," $1,349.00 ",36,48564,334
Dell,7400,14 Inches,,256 GB,Core i7 Family,16 GB,Windows 10 Pro,premium business-class notebook,Integrated,Intel UHD Graphics 620,,3.4," $1,699.00 ",58,98542,475
HP,,16 Inches,,1 TB,Core i7,32 GB,Windows 11 Pro,,Integrated,Intel HD Graphics 520,,4, $749.99 ,20,14999.8,184
Dell,Latitude 7320 Detachable 2-in-1,13 Inches,Black,128 GB,Core i5,8 GB,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,4.6, $459.99 ,12,5519.88,153
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5," $5,499.00 ",40,219960,539
HP,,14 Inches,Rose Gold,64 GB,Celeron N4000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.7," $2,799.00 ",51,142749,270
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4," $1,535.99 ",40,61439.6,255
HP,HP Envy,15.6 Inches,,512 GB,AMD Ryzen 7,16 GB,Windows 11 Home,"Backlit Keyboard,Stylus Pen",Integrated,AMD Radeon Graphics,,4.1," $3,799.00 ",14,53186,97
Dell,Latitude,14 Inches,Gray,512 GB,Intel Core i5 1145G7,16 GB,Windows 11 Pro,,Integrated,Intel Iris Xe Graphics,,," $1,699.00 ",31,52669,466
Lenovo,,13.3 Inches,,,,16 GB,Windows 10 Home,,Integrated,Intel UHD Graphics 620,,, $899.99 ,32,28799.68,485
Dell,Inspiron,15.6 Inches,Black,500 GB,Core i3,4 GB,Windows 8.1,,Integrated,Intel HD Graphics 4400,,4.1," $1,041.99 ",61,63561.39,425
MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5," $2,321.99 ",23,53405.77,407
MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1, $589.99 ,45,26549.55,477
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,," $1,102.99 ",28,30883.72,328
Dell,LATITUDE 3450,14 Inches,Black,256 GB,Core i5,16 GB,Windows 10 Pro 64 Bit Multi-Language Support English/French/Spanish,,Integrated,Integrated Graphics,,, $879.00 ,53,46587,334
Dell,Latitude,14 Inches,,256 GB,Core i5,16 GB,Windows 10 Pro,,Integrated,Intel Iris Xe Graphics,2.4 GHz,, $589.99 ,63,37169.37,323
Dell,LATITUDE E6530,15.6 Inches,,256 GB,Core i5-3320M,16 GB,Win 10 Pro 64 Bit Multi-Language Support English/French/Spanish,,Integrated,Integrated Graphics,2.6 GHz,, $290.98 ,12,3491.76,301
Lenovo,,14 Inches,,128 GB,,8 GB,Windows 10 Home,,Integrated,Intel,2.6 GHz,5," $1,798.95 ",60,107937,404
Dell,Latitude 5540 Laptop,15.6 Inches,Black,1000 GB,Core i7,32 GB,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,, $589.99 ,41,24189.59,480
MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5," $2,253.72 ",60,135223.2,521
MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1," $1,001.11 ",36,36039.96,279
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,, $999.99 ,63,62999.37,279
Dell,Vostro 7620 Laptop,16 Inches,Black,2000 GB,Core i7,,Windows 11 Pro,,Integrated,NVIDIA GeForce RTX 3050 Ti,3.5 GHz,, $459.99 ,46,21159.54,520
lenovo,Lenovo Thinkpad,12.5 Inches,Black,256 GB,Core i7 4600U,8 GB,Windows 8,Pen,Integrated,,,3.1, $799.00 ,47,37553,163
ASUS,VivoBook S15 S532,15.6 Inches,Punk Pink,512 GB,Intel Core i5,8 GB,Windows 10 Home,Nanoedge Bezel,Integrated,,,4.4, $389.99 ,22,8579.78,310
Dell,Latitude 5320 Laptop,13.3 Inches,Black,1000 GB,Core i7,16 GB,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,," $1,099.99 ",13,14299.87,284
Apple,MacBook Pro 13-inch,13.3 Inches,Space Gray,128 GB,Core i5,8 GB,Mac OS,,Integrated,integrated_graphics,,4.5, $299.99 ,28,8399.72,286
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5," $1,699.00 ",28,47572,500
HP,,14 Inches,Rose Gold,64 GB,Celeron N4000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.7," $1,015.99 ",39,39623.61,432
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4," $1,399.99 ",31,43399.69,205
Dell,XPS 9510 Laptop,15.6 Inches,Platinum Silver,512 GB,Core i7,16 GB,Windows 10 Pro,Wifi & Bluetooth,Nvidia GeForce RTX 3050 Ti,,,, $389.99 ,48,18719.52,365
ASUS,ROG Strix Scar III G531GV,15.6 Inches,,1 TB,Intel Core i7,16 GB,Windows 10 Home,,Dedicated,NVIDIA GeForce RTX 2060,4.5 GHz,4.4, $500.11 ,48,24005.28,234
HP,Laptop,17 Inches,,256 GB,Core i5,8 GB,Windows 11,Anti-glare,Integrated,Intel Iris Xe Graphics,,4.9," $2,280.99 ",37,84396.63,294
Dell,G15 5520 Laptop,15.6 Inches,Grey,512 GB,Core i7,16 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3050 Ti,,, $624.99 ,65,40624.35,352
Dell,XPS,15.6 Inches,Platinum Silver,1 TB,Intel Core i9,32 GB,Windows 10 Home,,Dedicated,NVIDIA GeForce RTX 3050 Ti,,, $459.99 ,60,27599.4,228
MSI,Modern 14 B11MOU-1212,14 Inches,Gray,128 GB,Core i3,8 GB,Windows 11 Home,Information Not Available,Integrated,,,5," $1,149.18 ",27,31027.86,497
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5, $639.99 ,54,34559.46,220
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,, $899.99 ,35,31499.65,508
DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,, $989.85 ,22,21776.7,332
MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5, $459.99 ,41,18859.59,200
MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1," $3,854.66 ",30,115639.8,455
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,, $993.23 ,54,53634.42,139
Lenovo,,15.6 Inches,Grey,512 GB,AMD R Series,20 GB,Windows 10,Anti-glare,Integrated,AMD Radeon RX Vega 8,,4.3, $639.99 ,53,33919.47,519
Dell,Precision 3000,14 Inches,,512 GB,Core i7,32 GB,Windows 10 Pro,Anti-glare Screen,T550,NVIDIA T550,,," $1,709.00 ",15,25635,261
Dell,Inspiron 3511,15.6 Inches,,1 TB,Core i5,16 GB,Windows 10 Pro,,Integrated,Intel UHD Graphics,1 GHz,," $1,143.99 ",48,54911.52,515
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5, $799.99 ,45,35999.55,147
HP,,14 Inches,Rose Gold,64 GB,Celeron N4000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.7," $1,334.99 ",61,81434.39,229
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4," $1,355.84 ",19,25760.96,136
Dell,Alienware m18 Laptop,18 Inches,Black,1000 GB,Core i9,64 GB,Windows 11 Home,,Integrated,NVIDIA GeForce RTX 4080,,," $1,038.28 ",45,46722.6,346
Dell,Inspiron,14 Inches,,512 GB,Core i7,16 GB,Windows 11 Home,Fingerprint,Integrated,,,, $389.99 ,42,16379.58,444
Dell,G16 7620 Laptop,16 Inches,Black,512 GB,Core i7,16 GB,Windows 11 Home,,Integrated,NVIDIA GeForce RTX 3050 Ti,,, $550.00 ,54,29700,520
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5," $1,568.39 ",64,100376.96,403
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,, $732.99 ,46,33717.54,311
DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,," $1,699.00 ",46,78154,181
MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5, $999.99 ,48,47999.52,539
MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1, $589.99 ,28,16519.72,140
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,," $1,049.00 ",15,15735,269
Luqeeg,Luqeegcbyo4agte7-11,15.6 Inches,,512 GB,,16 GB,Windows 11,"Fingerprint Reader,Keypad",Integrated,Intel UHD Graphics,,," $1,087.37 ",17,18485.29,399
Lenovo,,11.6 Inches,,32 GB,AMD A4,4 GB,Chrome OS,HD Audio,Integrated,AMD Radeon R5,9120 GHz,, $459.99 ,22,10119.78,460
Dell,Dell Precision 7750 Laptop,17 Inches,Black,1 TB,Intel Core i7,32 GB,Windows 10 Pro,,Dedicated,NVIDIA RTX 3000 6GB GDDR6,,," $1,102.99 ",18,19853.82,510
Lenovo,Chromebook,11.6 Inches,Black,,Celeron,4 GB,Chrome OS,Pen,Integrated,Intel HD Graphics 400,,5, $813.99 ,22,17907.78,168
Dell,Latitude 3000,11.6 Inches,,128 GB,Unknown,4 GB,Windows 11,Anti-glare Screen,UHD Graphics,Intel UHD Graphics,,, $589.99 ,65,38349.35,563
ASUS,UX363JA-XB71T,13.3 Inches,Grey,512 GB,Intel Core i5,1 GB,Windows 10 Pro,"Anti-glare,Nanoedge Bezel",Integrated,,,3.5, $639.99 ,45,28799.55,523
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5, $999.99 ,65,64999.35,323
HP,,14 Inches,Rose Gold,64 GB,Celeron N4000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.7, $989.99 ,61,60389.39,542
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4," $1,699.00 ",52,88348,322
Dell,Dell Inspiron,15.6 Inches,Platinum Silver,256 GB,Core i5,8 GB,Windows 10 Home,Backlit Keyboard,Integrated,,,3.3," $1,540.99 ",63,97082.37,274
Apple,MacBook Pro,14 Inches,Space Gray,1 TB,Apple M1,32 GB,Mac OS,,Integrated,,3.2 GHz,4.5," $1,599.00 ",12,19188,386
Dell,XPS 13 9380,13.3 Inches,Silver,128 GB,Core i5 Family,8 GB,Windows 10 Home,,Integrated,Intel UHD Graphics 620,,3.7, $810.28 ,33,26739.24,316
Dell,XPS 9520 Laptop,15.6 Inches,Platinum Silver,1000 GB,Core i7,64 GB,Windows 11 Pro,,Dedicated,NVIDIA GeForce RTX 3050,,5," $1,599.00 ",34,54366,358
Dell,Alienware X17 R2 Laptop,17.3 Inches,Lunar Light,2000 GB,Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3080,,, $209.99 ,63,13229.37,560
acer,Acer Swift X Laptop,14 Inches,Safari Gold,1 TB,AMD R Series,16 GB,Windows 10,Fingerprint,Dedicated,,,4.5," $1,499.00 ",25,37475,364
Dell,Dell Latitude 5520 Laptop,15 Inches,Silver,512 GB,Core i7,16 GB,Windows 10 Pro,,Integrated,Intel Iris Xe Graphics,,5, $589.99 ,47,27729.53,326
ASUS,ROG Strix SCAR II,17.3 Inches,Black,1000 GB,Core i7,16 GB,Windows 10 Home,,Dedicated,NVIDIA GeForce GTX 1060,,4.2," $2,399.00 ",46,110354,139
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5," $1,851.99 ",64,118527.36,322
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,," $1,688.99 ",43,72626.57,511
DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,," $1,989.85 ",46,91533.1,315
MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5," $1,267.99 ",22,27895.78,338
MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1, $459.99 ,52,23919.48,178
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,," $1,406.04 ",42,59053.68,510
Dell,Dell Latitude,14 Inches,,512 GB,Core i7 Family,16 GB,Windows 10 Pro,Anti-glare,Integrated,Intel Iris Xe Graphics,,," $2,738.99 ",48,131471.52,138
Dell,Latitude E6410,14.1 Inches,Silver,160 GB,Core i5,4 GB,Windows 7,HD Audio,Integrated,,,4.1," $2,199.99 ",53,116599.47,295
Dell,G16 7620 Laptop,16 Inches,Black,1000 GB,Core i9,32 GB,Windows 11 Pro,,Integrated,NVIDIA GeForce RTX 3070,,," $1,799.81 ",60,107988.6,296
ASUS,GM501GM-WS74,15.6 Inches,,1256 GB,8032,16 GB,Windows 10 Pro,,"Integrated, Dedicated",NVIDIA GeForce GTX 1060,2.2 GHz,3.7," $2,192.13 ",20,43842.6,215
Dell,Latitude 5400,14 Inches,Black,128 GB,Core i5 Family,8 GB,Chrome OS,Anti-glare,Integrated,,,," $1,699.00 ",32,54368,172
Lenovo,ThinkBook 14 G4 ABA,14 Inches,,256 GB,Ryzen 5,16 GB,Windows 11,Anti-glare Screen,Radeon Graphics,AMD Radeon Graphics,,," $1,275.81 ",30,38274.3,110
Dell,Latitude 5420 Laptop,14 Inches,Black,512 GB,Core i5,16 GB,Windows 10 Pro,Wifi & Bluetooth,Integrated,,,," $1,046.99 ",18,18845.82,267
Dell,Inspiron 5425,14 Inches,,512 GB,Ryzen 7,16 GB,Windows 11 Pro,"Backlit Keyboard,Fingerprint Reader",Integrated,,,, $999.99 ,40,39999.6,136
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5," $1,389.77 ",47,65319.19,220
HP,,14 Inches,Rose Gold,64 GB,Celeron N4000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.7, $965.08 ,21,20266.68,255
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4, $999.99 ,61,60999.39,241
Dell,63P78,14 Inches,,256 GB,Intel Core i7,16 GB,Windows 10 Pro,,Integrated,,2.7 GHz,3.6," $1,699.00 ",58,98542,198
Dell,Latitude 7000,14 Inches,Carbon Fiber,512 GB,Core i7,32 GB,Windows 10 Pro,Anti-glare Screen,Iris X Graphics,,,, $173.92 ,46,8000.32,493
Lenovo,Yoga 910,14 Inches,,256 GB,Core i7 7500U,8 GB,Windows 10,Backlit Keyboard,Integrated,Intel HD Graphics 620,,3.6," $1,699.00 ",38,64562,271
MSI,GE66 Raider 10SGS-288,15.6 Inches,,,Core i7,32 GB,Windows 10 Home,Anti-glare,Dedicated,NVIDIA RTX 2080 Super,2.3 GHz,4.4," $1,699.00 ",54,91746,361
HP,HP Pavilion x360,14 Inches,,256 GB,Core i5,8 GB,Windows 10,,Integrated,Intel UHD Graphics,1.6 GHz,4.4, $686.90 ,43,29536.7,159
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5, $639.99 ,32,20479.68,242
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,, $389.99 ,22,8579.78,211
DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,, $792.78 ,33,26161.74,344
MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5, $999.99 ,46,45999.54,521
MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1, $599.99 ,34,20399.66,125
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,, $589.99 ,43,25369.57,160
Lenovo,THINKPAD X1 CARBON 4TH GENERAT,14 Inches,,,Core i7,8 GB,Windows 10 Pro 64-bit,,Dedicated,Intel HD Graphics 5500,2.6 GHz,, $459.99 ,55,25299.45,340
Dell,Dell Latitude 7310,13 Inches,Carbon Fiber,256 GB,Core i5-10310Y,16 GB,Windows 10 Pro,"Anti Glare,Fingerprint",Integrated,,,, $639.99 ,58,37119.42,155
MICROTELLA,Lenovo Thinkpad,15.6 Inches,,256 GB,,8 GB,Windows 10,,Integrated,,,," $1,718.99 ",56,96263.44,311
Dell,Precision 7770 Laptop,17.3 Inches,Silver,1000 GB,Core i7,32 GB,Windows 11 Pro,,Dedicated,NVIDIA RTX A3000,,5, $554.04 ,63,34904.52,499
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5, $389.99 ,28,10919.72,257
HP,,14 Inches,Rose Gold,64 GB,Celeron N4000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.7, $899.99 ,65,58499.35,443
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4, $999.99 ,54,53999.46,270
